mcg gvh lip chg aac alm1 alm2 class Sequence_Name
0.49 0.29 0.48 0.50 0.56 0.24 0.35 cp AAT_ECOLI
0.07 0.40 0.48 0.50 0.54 0.35 0.44 cp ACEA_ECOLI
0.56 0.40 0.48 0.50 0.49 0.37 0.46 cp ACEK_ECOLI
0.59 0.49 0.48 0.50 0.52 0.45 0.36 cp ACKA_ECOLI
0.23 0.32 0.48 0.50 0.55 0.25 0.35 cp ADI_ECOLI
0.67 0.39 0.48 0.50 0.36 0.38 0.46 cp ALKH_ECOLI
0.29 0.28 0.48 0.50 0.44 0.23 0.34 cp AMPD_ECOLI
0.21 0.34 0.48 0.50 0.51 0.28 0.39 cp AMY2_ECOLI
0.20 0.44 0.48 0.50 0.46 0.51 0.57 cp APT_ECOLI
0.42 0.40 0.48 0.50 0.56 0.18 0.30 cp ARAC_ECOLI
